Season,Player,Number,Position,College
1936,Ernie Caddel,1,WB,Stanford
1936,Ed Klewicki,10,LE,Michigan St.
1936,Harry Ebding,11,E,St. Mary's (CA)
1936,John Schneller,12,RE,Wisconsin
1936,Del Ritchhart,13,C,Colorado
1936,George Christensen,14,RT,Oregon
1936,Sid Wagner,15,G,Michigan St.
1936,Jack Johnson,16,LT,Utah
1936,Clare Randolph,17,C-G-LB-E,Indiana
1936,Joe Kopcha,18,RG,Chattanooga
1936,Regis Monahan,19,G-T,Ohio St.
1936,Frank Christensen,2,BB,Utah
1936,Ox Emerson,20,G-C,Texas
1936,Sam Knox,21,LG,"New Hampshire , Illinois"
1936,Tom Hupke,22,G-T,Alabama
1936,Jim Steen,23,T,Syracuse
1936,Red Stacy,25,RT,Oklahoma
1936,Butch Morse,27,E,Oregon
1936,Glenn Presnell,3,TB,Nebraska
1936,Wilbur White,30,B,Colorado St.
1936,Buddy Parker,4,BB,"North Texas , Centenary"
1936,Ike Petersen,40,B,Gonzaga
1936,Ace Gutowsky,5,FB,Oklahoma City
1936,Dutch Clark,7,TB,Colorado Col.
1936,Bill McKalip,8,E-WB,Oregon St.
1936,Bill Shepherd,9,FB,Western Maryland
1937,Charlie Payne,,WB,Detroit Mercy
1937,Ernie Caddel,1,WB,Stanford
1937,Ed Klewicki,10,LE,Michigan St.
1937,Harry Ebding,11,RE,St. Mary's (CA)
1937,Chuck Hanneman,12,E,Eastern Michigan
1937,Del Ritchhart,13,C,Colorado
1937,Bill Feldhaus,14,RG,Cincinnati
1937,Ralph Isselhardt,15,G,Franklin (IN)
1937,Sid Wagner,15,RG,Michigan St.
1937,Jack Johnson,16,LT,Utah
1937,Dixie Stokes,17,C,Centenary
1937,Hal Cooper,18,G,Detroit Mercy
1937,Regis Monahan,19,G-T,Ohio St.
1937,Frank Christensen,2,RT,Utah
1937,Ox Emerson,20,LG,Texas
1937,Tom Fena,21,G,Denver
1937,Tom Hupke,22,G-T,Alabama
1937,Lee Kizzire,23,FB,Wyoming
1937,Bob Reynolds,24,RT,Stanford
1937,Red Stacy,25,T-G,Oklahoma
1937,George Christensen,26,T-G,Oregon
1937,Butch Morse,27,RE,Oregon
1937,Lloyd Cardwell,3,WB-DB-FB,Nebraska
1937,Ray Reckmack,4,E-HB,Syracuse
1937,Ace Gutowsky,5,FB,Oklahoma City
1937,Vern Huffman,6,BB,Indiana
1937,Dutch Clark,7,TB,Colorado Col.
1937,Bill Shepherd,9,B,Western Maryland
1938,Ernie Caddel,1,WB,Stanford
1938,Ed Klewicki,10,LE,Michigan St.
1938,Monk Moscrip,11,RE,Stanford
1938,Chuck Hanneman,12,E,Eastern Michigan
1938,Butch Morse,13,E,Oregon
1938,George Christensen,14,T-G,Oregon
1938,Sid Wagner,15,LG,Michigan St.
1938,Jack Johnson,16,LT,Utah
1938,Dixie Stokes,17,C,Centenary
1938,Bill Rogers,18,T,Villanova
1938,Regis Monahan,19,G-T,Ohio St.
1938,Kent Ryan,2,HB,Utah St.
1938,Jim McDonald,20,B,Ohio St.
1938,Maury Patt,21,E,Carnegie Mellon
1938,Fred Vanzo,22,BB,Northwestern
1938,Les Graham,23,G,Tulsa
1938,Bob Reynolds,24,RT,Stanford
1938,Lou Barle,25,HB-QB,Minnesota-Duluth
1938,Bill Feldhaus,26,RG,Cincinnati
1938,Tony Matisi,27,T,Pittsburgh
1938,Bill Radovich,28,G,USC
1938,Jack Mackenroth,29,C,North Dakota
1938,Lloyd Cardwell,3,WB,Nebraska
1938,Alex Wojciechowicz,30,C,Fordham
1938,Dick Nardi,4,B,Ohio St.
1938,Ace Gutowsky,5,FB,Oklahoma City
1938,Vern Huffman,6,TB,Indiana
1938,Dutch Clark,7,TB-DB,Colorado Col.
1938,Paul Szakash,8,E-BB-FB,Montana
1938,Bill Shepherd,9,FB,Western Maryland
1939,Gordon Gore,10,HB,SW Oklahoma St.
1939,Monk Moscrip,11,LE,Stanford
1939,Chuck Hanneman,12,RE,Eastern Michigan
1939,John Wiatrak,13,C,Washington
1939,Ray George,14,RT,USC
1939,Tony Tonelli,15,C-G,USC
1939,Jack Johnson,16,LT,Utah
1939,Dixie Stokes,17,C,Centenary
1939,Bill Rogers,18,T,Villanova
1939,Hal Brill,2,TB,Wichita St.
1939,Jim McDonald,20,B,Ohio St.
1939,Elvin Hutchison,21,HB,Whittier
1939,Fred Vanzo,22,BB,Northwestern
1939,Bill Feldhaus,26,RG,Cincinnati
1939,Bill Radovich,28,G,USC
1939,Jim Austin,29,E,St. Mary's (CA)
1939,Lloyd Cardwell,3,WB,Nebraska
1939,Alex Wojciechowicz,30,C,Fordham
1939,Dave Diehl,32,E,Michigan St.
1939,Phil Martinovich,34,FB-G,Pacific
1939,Bill Moore,35,E-DE,North Carolina
1939,Dwight Sloan,36,TB,Arkansas
1939,Johnny Pingel,37,TB,Michigan St.
1939,Darrell Tully,4,TB-DB,Texas A&M-Commerce
1939,Ray Hamilton,42,E,Arkansas
1939,Howie Weiss,5,FB,Wisconsin
1939,Ray Clemons,55,G,Central Oklahoma
1939,Kent Ryan,6,HB,Utah St.
1939,Steve Maronic,64,T,North Carolina
1939,Tony Calvelli,66,C-G,Stanford
1939,Cal Thomas,75,G,Tulsa
1939,Socko Wiethe,78,LG,Xavier (OH)
1939,Paul Szakash,8,E-BB-FB,Montana
1939,Connie Mack Berry,83,E,North Carolina St.
1939,Bill Shepherd,9,FB,Western Maryland
1940,Les McDonald,,E,Nebraska
1940,Bill Fisk,10,E-DE,USC
1940,Chuck Hanneman,12,RE,Eastern Michigan
1940,Clem Crabtree,13,T-G,Wake Forest
1940,Cal Thomas,15,G,Tulsa
1940,Jack Johnson,16,LT,Utah
1940,Bill Rogers,18,T,Villanova
1940,Jack Morlock,21,WB,Marshall
1940,Fred Vanzo,22,BB,Northwestern
1940,Paul Moore,23,BB-LB,Presbyterian
1940,Whizzer White,24,TB,Colorado
1940,Johnny Hackenbruck,25,T,Oregon St.
1940,Bill Radovich,26,G,USC
1940,Butch Morse,27,E,Oregon
1940,Bill Feldhaus,28,RG,Cincinnati
1940,Lloyd Cardwell,3,WB,Nebraska
1940,Alex Wojciechowicz,30,C,Fordham
1940,Dave Diehl,32,E,Michigan St.
1940,Harry Smith,33,RT,USC
1940,Bill Callihan,34,B-T,Nebraska
1940,Stillman Rouse,35,LE,Missouri
1940,Dwight Sloan,36,TB,Arkansas
1940,Cotton Price,37,TB-DB-QB,Texas A&M
1940,Tony Furst,38,T,Dayton
1940,Bob Winslow,40,DE,USC
1940,Tony Calvelli,42,C,Stanford
1940,Harry Speelman,43,G,Michigan St.
1940,Steve Maronic,44,T,North Carolina
1940,Socko Wiethe,48,LG,Xavier (OH)
1940,Howie Weiss,5,FB,Wisconsin
1940,Glenn Morris,57,E,Colorado St.
1940,Kent Ryan,6,HB,Utah St.
1940,Sam Tsoutsouvas,8,C-LB,Oregon St.
1940,Bill Shepherd,9,B,Western Maryland
1941,Lloyd Cardwell,10,WB-DB-FB,Nebraska
1941,Dick Booth,11,WB,Case Western Reserve
1941,Ned Mathews,12,WB-HB,UCLA
1941,John Noppenberg,14,B,Miami (FL)
1941,Lou Tomasetti,15,FB-HB,Bucknell
1941,Fred Vanzo,22,BB,Northwestern
1941,Paul Moore,23,BB-LB,Presbyterian
1941,Bill Callihan,25,BB,Nebraska
1941,Steve Belichick,30,FB,Case Western Reserve
1941,Harry Hopp,31,FB,Nebraska
1941,Lloyd Parsons,32,B,"Minnesota , Gustavus Adolphus"
1941,Milt Piepul,33,FB,Notre Dame
1941,Cotton Price,42,TB-DB-QB,Texas A&M
1941,Whizzer White,44,TB,Colorado
1941,Billy Jefferson,46,HB,Mississippi St.
1941,Alex Wojciechowicz,50,C,Fordham
1941,Robert Nelson,51,C-T-DT-LB,Baylor
1941,Dunc Obee,52,C,Dayton
1941,Augie Lio,61,LG,Georgetown (DC)
1941,Jack Mattiford,62,G,Marshall
1941,Stan Batinski,65,G-T,Temple
1941,Bill Radovich,66,G,USC
1941,Chuck Hanneman,68,E,Eastern Michigan
1941,Socko Wiethe,68,RG,Xavier (OH)
1941,John Tripson,70,LT,Mississippi St.
1941,Ted Pavelec,71,G-T,Detroit Mercy
1941,Clem Crabtree,72,T-G,Wake Forest
1941,Tony Furst,73,RT,Dayton
1941,Emil Uremovich,75,T-DE-E,Indiana
1941,Andy Logan,76,T-C,Case Western Reserve
1941,Alex Schibanoff,79,T,Franklin & Marshall
1941,Bill Fisk,80,LE,USC
1941,Maurice Britt,81,E,Arkansas
1941,John Jett,82,E,Wake Forest
1941,Stan Andersen,82,T-E,Stanford
1941,Paul Szakash,84,RE,Montana
1941,Owen Thuerk,86,E,
1942,Lloyd Cardwell,10,WB-DB-FB,Nebraska
1942,Emil Banjavic,11,WB-DB,Arizona
1942,Ned Mathews,12,WB,UCLA
1942,Johnny Hall,14,WB-HB,TCU
1942,Paul Szakash,22,E-BB-FB,Montana
1942,Murray Evans,23,BB-QB,Hardin-Simmons
1942,Bill Callihan,25,BB,Nebraska
1942,Frank Grigonis,31,FB,Chattanooga
1942,John Polanski,32,FB,Wake Forest
1942,Harry Seltzer,33,FB,Charleston (WV)
1942,Elmer Hackney,34,FB,Kansas St.
1942,Chet Wetterlund,40,TB-DB,Illinois Wesleyan
1942,Mickey Sanzotta,42,FB,Case Western Reserve
1942,Harry Hopp,44,TB,Nebraska
1942,Tom Colella,46,HB-TB,Canisius
1942,Alex Wojciechowicz,50,RE,Fordham
1942,Sloko Gill,51,C-LB-G,Youngstown St.
1942,John Schiechl,52,C,Santa Clara
1942,Tony Arena,52,C-LB,Michigan St.
1942,Larry Sartori,60,G,Fordham
1942,Augie Lio,61,RG,Georgetown (DC)
1942,Tony Zuzzio,65,G,Muhlenberg
1942,Bill Kennedy,66,G,Michigan St.
1942,Socko Wiethe,68,G-LB,Xavier (OH)
1942,Ted Pavelec,71,LG,Detroit Mercy
1942,Hank Goodman,72,T,"St. Bonaventure , George Washington , West Virginia"
1942,George Speth,73,LT,Murray St.
1942,Emil Uremovich,75,RT,Indiana
1942,Tom Chantiles,76,T,USC
1942,Alex Schibanoff,78,LT,Franklin & Marshall
1942,Bill Fisk,80,LE,USC
1942,Joe Stringfellow,81,TB,Southern Miss
1942,Perry Scott,82,E,Muhlenberg
1942,Keith Ranspot,84,E,SMU
1942,Charlie Behan,85,E,Northern Illinois
1942,Gran Harrison,86,E,Mississippi St.
1942,Larry Knorr,88,E,"Alabama , Dayton"
1943,Lloyd Cardwell,10,WB-DB-FB,Nebraska
1943,Art Van Tone,11,WB-DB,Southern Miss
1943,Mike Corgan,17,FB,Notre Dame
1943,Bert Kuczynski,20,E,Pennsylvania
1943,Frankie Sinkwich,21,TB,Georgia
1943,Murray Evans,23,BB,Hardin-Simmons
1943,Bill Callihan,25,BB,Nebraska
1943,Elmer Hackney,34,FB,Kansas St.
1943,Roy Stuart,40,G-LB,Tulsa
1943,Ned Mathews,42,WB,UCLA
1943,Harry Hopp,44,FB,Nebraska
1943,Bob Keene,45,B,Detroit Mercy
1943,Tom Colella,46,HB-TB,Canisius
1943,Chuck Fenenbock,48,TB,UCLA
1943,Alex Wojciechowicz,50,C,Fordham
1943,Sam Busich,51,E,Ohio St.
1943,Gerry Conlee,52,C,St. Mary's (CA)
1943,Sonny Liles,62,G-LB,Oklahoma St.
1943,Alex Ketzko,64,T,Michigan St.
1943,Stan Batinski,65,G-T,Temple
1943,Anthony Rubino,66,RG,Wake Forest
1943,Lyle Rockenbach,68,G,Michigan St.
1943,Ed Opalewski,71,T,Eastern Michigan
1943,Ted Pavelec,71,G-T,Detroit Mercy
1943,Augie Lio,73,LT,Georgetown (DC)
1943,Al Kaporch,76,RT,St. Bonaventure
1943,Ernie Rosteck,78,C,
1943,Bill Fisk,80,LE,USC
1943,Bob Layden,81,E-T,Southwestern (KS)
1943,Lloyd Wickett,81,T,Oregon St.
1943,Jack Matheson,82,LG,Western Michigan
1943,Riley Matheson,83,G,"Cameron , Texas-El Paso"
1943,Ben Hightower,86,RE,Sam Houston St.
1944,John Greene,10,LG,Michigan
1944,Art Van Tone,11,WB,Southern Miss
1944,Tony Aiello,17,/,Youngstown St.
1944,Sonny Liles,20,G-LB,Oklahoma St.
1944,Frankie Sinkwich,21,TB,Georgia
1944,Fred Dawley,23,FB,Michigan
1944,Bill Callihan,25,BB,Nebraska
1944,Elmer Hackney,34,FB,Kansas St.
1944,Jackie Lowther,42,B,Detroit Mercy
1944,Bob Keene,45,B,Detroit Mercy
1944,Harry Bolton,46,T,Oklahoma St.
1944,Alex Wojciechowicz,50,C,Fordham
1944,George Sirochman,52,G,Duquesne
1944,Joe D'Orazio,60,T,Ithaca
1944,Wayne Clark,61,E,Utah
1944,Bill Rogers,62,T,Villanova
1944,Ed Eiden,62,C,Scranton
1944,Buzz Trebotich,64,B,St. Mary's (CA)
1944,Stan Batinski,65,LT,Temple
1944,Freeman Rexer,66,E,Tulane
1944,Tom Kennedy,68,T,Wayne State (MI)
1944,Ed Opalewski,71,LT,Eastern Michigan
1944,Tony Furst,73,T,Dayton
1944,Al Kaporch,75,RG,St. Bonaventure
1944,Luke Lindon,77,RT,Kentucky
1944,Ernie Rosteck,78,C,
1944,Dale Hansen,81,T,Michigan St.
1944,Jack Matheson,82,RE,Western Michigan
1944,Paul Blessing,83,E,Nebraska-Kearney
1944,Dave Diehl,84,LE,Michigan St.
1944,Bob Westfall,86,FB,Michigan
1945,John Greene,10,LE,Michigan
1945,Art Van Tone,11,WB-DB,Southern Miss
1945,Ed Frutig,11,E,Michigan
1945,Dick Mesak,12,T,St. Mary's (CA)
1945,Chuck DeShane,17,WB,Alabama
1945,Bob Sneddon,20,DB-HB-WB,"Weber St. , St. Mary's (CA)"
1945,Dick Weber,20,TB,St. Louis
1945,Sonny Liles,20,G-LB,Oklahoma St.
1945,Robert Nelson,22,C,Baylor
1945,Bill Callihan,25,LT,Nebraska
1945,Elmer Madarik,29,HB-WB,Detroit Mercy
1945,Rex Williams,30,C,Texas Tech
1945,Bob Brumley,32,WB,Rice
1945,Jim Thomason,33,WB,Texas A&M
1945,Elmer Hackney,34,FB,Kansas St.
1945,Vince Mazza,40,E,
1945,Andy Farkas,42,WB,Detroit Mercy
1945,Dave Ryan,44,TB,Hardin-Simmons
1945,Bob Keene,45,B,Detroit Mercy
1945,Larry Sartori,45,G,Fordham
1945,Ted Grefe,45,E,Northwestern
1945,Joseph Manzo,46,T,Boston Col.
1945,Chuck Fenenbock,48,TB,UCLA
1945,Alex Wojciechowicz,50,C-LB-E,Fordham
1945,Archie Milano,51,E,St. Francis (PA)
1945,Dom Sigillo,52,T-G,Xavier (OH)
1945,Damon Tassos,6,G,Texas A&M
1945,Cotton Price,62,TB-DB-QB,Texas A&M
1945,Buzz Trebotich,64,BB,St. Mary's (CA)
1945,Dick Booth,64,B,Case Western Reserve
1945,Stan Batinski,65,LG,Temple
1945,Lake Roberson,66,DE,Mississippi
1945,Larry Knorr,68,E,"Alabama , Dayton"
1945,Michael Kostiuk,71,T,Detroit Tech
1945,Bill Radovich,73,RG,USC
1945,Al Kaporch,75,T-G,St. Bonaventure
1945,Garvin Mugg,77,T,North Texas
1945,Luke Lindon,77,T,Kentucky
1945,Frank Kring,78,LB,TCU
1945,Emil Uremovich,81,RT,Indiana
1945,Joe Krol,81,HB,Western Ontario
1945,Jack Matheson,82,RE,Western Michigan
1945,Frank Szymanski,83,C,Notre Dame
1945,Dave Diehl,84,E,Michigan St.
1945,Bob Westfall,86,FB,Michigan
1946,John Greene,10,E-G-B,Michigan
1946,Ed Frutig,11,E,Michigan
1946,Chuck DeShane,17,BB,Alabama
1946,Mickey Sanzotta,18,B,Case Western Reserve
1946,Lloyd Wickett,20,T,Oregon St.
1946,Ted Cremer,21,LE,Auburn
1946,Aldo Forte,25,G-T,Montana
1946,Vince Mazza,29,E,
1946,Gene Spangler,30,WB-DB,Tulsa
1946,Ralph Jones,31,E-DE,"Union (TN) , Alabama"
1946,Walt Vezmar,33,G,Michigan St.
1946,Elmer Hackney,34,FB,Kansas St.
1946,Elmer Madarik,40,WB,Detroit Mercy
1946,Jim Jones,42,T-DB,Union (TN)
1946,Dave Ryan,44,TB,Hardin-Simmons
1946,Leon Fichman,46,RT,Alabama
1946,Alex Wojciechowicz,50,C-LB-E,Fordham
1946,Jack Helms,52,DE,Georgia Tech
1946,Ivan Schottel,55,B-E,NW Missouri St.
1946,Damon Tassos,6,RG,Texas A&M
1946,Stan Batinski,65,LG,Temple
1946,Camp Wilson,66,FB,"Tarleton St. , Hardin-Simmons , Tulsa"
1946,Anthony Rubino,68,G,Wake Forest
1946,Russ Thomas,71,LT,Ohio St.
1946,Jim Montgomery,73,T,Texas A&M
1946,Billy deCorrevont,76,WB,Northwestern
1946,Walt Jurkiewicz,80,C,Indiana
1946,Emil Uremovich,81,RT,Indiana
1946,Jack Matheson,82,RE,Western Michigan
1946,Frank Szymanski,83,C,Notre Dame
1946,Bob Cifers,84,HB,Tennessee
1946,Joel McCoy,85,TB,Alabama
1946,Bob Westfall,86,FB-LB-TB,Michigan
1946,Jim Callahan,88,TB,"Texas Tech , Texas"
1947,John Greene,10,LE,Michigan
1947,Clyde LeForce,11,QB,Tulsa
1947,Dick Stovall,12,LB-G-C,Abilene Christian
1947,Joe Watt,15,HB-DB,Syracuse
1947,Chuck DeShane,17,RG,Alabama
1947,Ted Cook,20,LE,Alabama
1947,Ted Cremer,21,RE,Auburn
1947,Tommy James,22,DB-HB,Ohio St.
1947,Ralph Heywood,31,E-DE,USC
1947,Steve Sucic,33,HB-FB,Illinois
1947,Walt Vezmar,33,G,Michigan St.
1947,Floyd Rhea,34,G,Oregon
1947,George Hekkers,34,T,Wisconsin
1947,Bill Dudley,35,LH,Virginia
1947,Bob DeFruiter,39,HB,Nebraska
1947,Elmer Madarik,40,RH,Detroit Mercy
1947,Bill Ward,42,G,"Washington St. , Washington"
1947,Bob Ivory,42,G,Detroit Mercy
1947,Ben Chase,44,G,Navy
1947,Dave Ryan,44,TB-HB,Hardin-Simmons
1947,Pete Kmetovic,45,HB,Stanford
1947,Leon Fichman,46,T,Alabama
1947,Reed Nilsen,46,C,BYU
1947,Bill Hillman,48,B,Tennessee
1947,Ken Reese,48,HB-QB,Alabama
1947,Jack Dugger,50,T-DE,Ohio St.
1947,Les Lear,51,T,Manitoba
1947,Ed Stacco,52,T,Colgate
1947,Cecil Souders,55,E-T,Ohio St.
1947,Roy Zimmerman,6,QB,San Jose St.
1947,Bill O'Brien,62,HB,
1947,Stan Batinski,65,LG,Temple
1947,Camp Wilson,66,FB,"Tarleton St. , Hardin-Simmons , Tulsa"
1947,Merv Pregulman,67,C,Michigan
1947,Russ Thomas,71,LT,Ohio St.
1947,Elmer Jones,73,G-LB,"Franklin & Marshall , Wake Forest"
1947,Robert Derleth,73,T,Michigan
1947,Bob Wiese,75,B,Michigan
1947,John Sanchez,77,T,"Redlands , San Francisco"
1947,Kelley Mote,78,E-DE-DB,"South Carolina , Duke"
1947,Joe Margucci,81,HB-QB,USC
1947,Mitch Olenski,82,RT,Alabama
1947,Frank Szymanski,83,C,Notre Dame
1947,Bob Westfall,85,FB-LB-TB,Michigan
1948,Jim Gillette,11,HB,Virginia
1948,Joe Billy Baumgardner,11,HB,Texas
1948,Earl Maves,12,WB,"Michigan , Wisconsin"
1948,Joe Watt,14,RH,Syracuse
1948,Joe Margucci,15,RH,USC
1948,Camp Wilson,16,FB,"Tarleton St. , Hardin-Simmons , Tulsa"
1948,Jim Hunnicutt,16,G,South Carolina
1948,Mel Groomes,17,HB,Indiana
1948,Andy Dudish,18,HB,Georgia
1948,Paul Sarringhaus,18,HB,Ohio St.
1948,Clyde LeForce,22,QB,Tulsa
1948,Fred Enke,24,QB,Arizona
1948,Larry Ellis,28,LB,Syracuse
1948,Elmer Madarik,30,HB-WB,Detroit Mercy
1948,Ken Roskie,30,FB,South Carolina
1948,Steve Sucic,33,HB-FB,Illinois
1948,Bill Dudley,35,LH,Virginia
1948,Max Bumgardner,36,DE,Texas
1948,Bob Wiese,38,B,Michigan
1948,Charley Sarratt,40,QB,"Clemson , Oklahoma"
1948,George Grimes,42,DB-WB,"North Carolina , Virginia"
1948,Bap Manzini,53,C,St. Vincent
1948,Howard Duncan,53,C,Ohio St.
1948,Roger Harding,55,C-LB,California
1948,Merv Pregulman,57,C,Michigan
1948,Chuck DeShane,60,B-G,Alabama
1948,Elmer Jones,62,G-LB,"Franklin & Marshall , Wake Forest"
1948,Bill Miklich,63,LB-BB-C,Idaho
1948,Howie Brown,64,LG,Indiana
1948,Les Bingaman,65,DG-G,Illinois
1948,Dick Stovall,66,LB-G-C,Abilene Christian
1948,Bill Ward,67,RG,"Washington St. , Washington"
1948,George Hekkers,70,T,Wisconsin
1948,Russ Thomas,71,LT,Ohio St.
1948,Jack Dugger,74,RT,Ohio St.
1948,Paul Briggs,76,T,Colorado
1948,Dale Hansen,77,T,Michigan St.
1948,Ralph Heywood,80,E-DE,USC
1948,John Greene,81,RE,Michigan
1948,Cecil Souders,82,RE,Ohio St.
1948,Kelley Mote,83,LE,"South Carolina , Duke"
1948,Ted Cremer,85,E-DE,Auburn
1948,Bob Mann,87,LE,Michigan
1948,Ivan Schottel,88,B-E,NW Missouri St.
1949,Hal Prescott,,E,Hardin-Simmons
1949,Cloyce Box,11,RH,"Louisiana Tech , West Texas A&M"
1949,Camp Wilson,16,FB,"Tarleton St. , Hardin-Simmons , Tulsa"
1949,Mel Groomes,17,HB,Indiana
1949,Wally Triplett,18,RH,Penn St.
1949,Chick Maggioli,19,DB-HB,"Indiana , Notre Dame , Illinois"
1949,Clyde LeForce,22,QB,Tulsa
1949,Fred Enke,24,QB,Arizona
1949,Frank Tripucka,28,QB,Notre Dame
1949,John Panelli,33,LB-FB,Notre Dame
1949,Bill Dudley,35,LH,Virginia
1949,John Hollar,36,FB,Appalachian St.
1949,Jim Mello,38,DB-FB-LB,Notre Dame
1949,Bob Smith,40,DB-HB-WB,"Tulsa , Iowa"
1949,Don Doll,44,DB,USC
1949,Bob Pifferini,53,C,San Jose St.
1949,George Karstens,55,C,Indiana
1949,Chuck DeShane,60,B-G,Alabama
1949,Mario DeMarco,63,LG,Miami (FL)
1949,Howie Brown,64,RT,Indiana
1949,Les Bingaman,65,DG-G,Illinois
1949,Bill Ward,67,RG,"Washington St. , Washington"
1949,George Hekkers,70,LT,Wisconsin
1949,Russ Thomas,71,T,Ohio St.
1949,Jack Simmons,73,C,"Maryland , Detroit Mercy"
1949,John Prchlik,75,DT-T,Yale
1949,John Treadaway,76,T,Hardin-Simmons
1949,Mike Roussos,76,T,Pittsburgh
1949,John Greene,81,RE,Michigan
1949,Cecil Souders,82,LT,Ohio St.
1949,Kelley Mote,83,E-DE-DB,"South Carolina , Duke"
1949,Barney Hafen,84,DE-E,Utah
1949,Abe Addams,85,/,Indiana
1949,Sam Goldman,85,E,"Ohio St. , Samford"
1949,Al Russas,86,T-DE,Tennessee
1949,Bob Mann,87,LE,Michigan
1949,Ollie Poole,88,DE-E,"North Carolina , Mississippi"
1950,Clarence Self,11,SS,Wisconsin
1950,Dan Sandifer,12,DB,LSU
1950,Bob Hoernschemeyer,14,RH,"Indiana , Navy"
1950,Dante Magnani,16,HB,St. Mary's (CA)
1950,Gerry Krall,17,HB,Ohio St.
1950,Wally Triplett,18,HB,Penn St.
1950,Bobby Layne,22,QB,Texas
1950,Fred Enke,24,QB,Arizona
1950,Don Panciera,28,DB,"Boston Col. , San Francisco"
1950,Ollie Cline,30,FB,Ohio St.
1950,John Panelli,33,LLB,Notre Dame
1950,Bill Schroll,36,LDH,LSU
1950,Doak Walker,37,LH,SMU
1950,Bob Smith,40,FS,"Tulsa , Iowa"
1950,Lindy Pearson,42,HB,Oklahoma
1950,Don Doll,44,RDH,USC
1950,Joe Watson,51,C,Rice
1950,Jack Simmons,53,C,"Maryland , Detroit Mercy"
1950,Jack Lininger,57,RLB,Ohio St.
1950,Joe Soboleski,60,G,Michigan
1950,Howie Brown,64,RG,Indiana
1950,Les Bingaman,65,MG,Illinois
1950,Gus Cifelli,70,RT,"Nevada , Notre Dame"
1950,Chet Bulger,71,LT,Auburn
1950,Floyd Jaszewski,72,LT/RT,Minnesota
1950,Thurman McGraw,73,LDT,Colorado St.
1950,Dick Flanagan,74,G,Ohio St.
1950,Lloyd McDermott,74,DT,Kentucky
1950,John Prchlik,75,RDT,Yale
1950,Lou Creekmur,76,LG,William & Mary
1950,Cloyce Box,80,LE,"Louisiana Tech , West Texas A&M"
1950,John Greene,81,E,Michigan
1950,Rex Grossman,81,K,Indiana
1950,Leon Hart,82,RE,Notre Dame
1950,Barney Hafen,84,LDE,Utah
1950,Jim Cain,88,RDE,Alabama
1950,Dick Rifenburg,89,E,Michigan
1951,Clarence Self,11,LDH,Wisconsin
1951,Jim Hill,12,DB,Tennessee
1951,Bob Hoernschemeyer,14,RH,"Indiana , Navy"
1951,Pete D'Alonzo,16,FB,Villanova
1951,Jack Christiansen,19,FS,Colorado St.
1951,Bobby Layne,22,QB,Texas
1951,Fred Enke,24,QB,Arizona
1951,Ollie Cline,30,FB,Ohio St.
1951,Pat Harder,34,FB,Wisconsin
1951,Art Murakowski,35,DB,Northwestern
1951,Doak Walker,37,LH,SMU
1951,Bob Smith,40,RDH,"Tulsa , Iowa"
1951,Lindy Pearson,42,HB,Oklahoma
1951,Don Doll,44,SS,USC
1951,Vince Banonis,51,C,Detroit Mercy
1951,LaVern Torgeson,53,C/RLB,Washington St.
1951,Jack Lininger,55,LB,Ohio St.
1951,Bruce Womack,60,G,West Texas A&M
1951,Bob Momsen,63,MG,Ohio St.
1951,Dan Rogas,64,RG,Tulane
1951,Les Bingaman,65,C,Illinois
1951,Barry French,67,G,Purdue
1951,Gus Cifelli,70,RT,"Nevada , Notre Dame"
1951,Floyd Jaszewski,72,LT/LDT,Minnesota
1951,Thurman McGraw,73,LDT,Colorado St.
1951,Dick Flanagan,74,LLB/RG,Ohio St.
1951,John Prchlik,75,RDT,Yale
1951,Lou Creekmur,76,LG,William & Mary
1951,Leon Hart,82,RE,Notre Dame
1951,Jim Doran,83,RDE,"Buena Vista , Iowa St."
1951,Dorne Dibble,84,LE/LDH,Michigan St.
1951,Ed Berrang,85,LDE,Villanova
1951,Bill Swiacki,88,LE,"Holy Cross , Columbia"
1951,Jim Martin,89,LT/LDE,Notre Dame
1952,Jim Hardy,1,QB,USC
1952,Bob Hoernschemeyer,14,RH,"Indiana , Navy"
1952,Tom Dublinski,19,QB,Utah
1952,Clyde Scott,20,HB,"Navy , Arkansas"
1952,Bobby Layne,22,QB,Texas
1952,Jug Girard,23,LH,Wisconsin
1952,Jack Christiansen,24,FS,Colorado St.
1952,Jim David,25,LDH,Colorado St.
1952,Yale Lary,28,RDH,Texas A&M
1952,Ollie Cline,33,FB,Ohio St.
1952,Pat Harder,34,FB,Wisconsin
1952,Doak Walker,37,LH,SMU
1952,Pete D'Alonzo,39,FB,Villanova
1952,Bob Smith,40,SS,"Tulsa , Iowa"
1952,Lindy Pearson,42,HB,Oklahoma
1952,Don Doll,44,SS,USC
1952,Byron Bailey,45,HB,Washington St.
1952,Jim Hill,48,DB,Tennessee
1952,Keith Flowers,50,LB,TCU
1952,Vince Banonis,51,C,Detroit Mercy
1952,LaVern Torgeson,53,RLB,Washington St.
1952,Dick Flanagan,60,LLB,Ohio St.
1952,Jim Martin,62,LG,Notre Dame
1952,Dick Stanfel,63,RG,San Francisco
1952,Les Bingaman,65,MG,Illinois
1952,Stan Campbell,66,G,Iowa St.
1952,Gus Cifelli,70,RT,"Nevada , Notre Dame"
1952,Thurman McGraw,73,LDT,Colorado St.
